type,inputUser,inputGroup,action,modificationMode,name,specialDatesToDeleteList,specialCommentsToDeleteList,yearlyDatesToDeleteList,yearlyCommentsToDeleteList,businessDatesToDeleteList,businessCommentsToDeleteList,selected
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20271224,Christmas Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20280417,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20281226,Boxing Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20291231,New Year's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20300419,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20300530,Ascension Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20301206,Independence Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HEX,20301231,New Year's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,CMF,20071122,Thanksgiving,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,CMF,20080121,Martin Luther King Jr. Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,CMF,20081127,,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,STB,20080101,New Year's Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20061225,Christmas Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20061226,Boxing Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,TKH,20301014,Sports Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,TKH,20311124,Labour Thanksgiving Day Observ,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,STB,20100405,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20130401,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20151225,Christmas Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20151231,New Year's Eve,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20170414,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20170525,Ascension Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20181226,Boxing Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20190501,Labour Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,HES,20070406,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20080620,Midsummer's Eve,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,STB,20191226,Boxing Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20200101,New Year's Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,TKB,20260921,Respect for the Aged Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20200413,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20220517,Constitution Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20220526,Ascension Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,CMB,20090520,20 May 2009,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20230407,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20230529,Whit Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20280414,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20280501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20280815,Assumption Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,MIS,20291225,Christmas Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20140501,Labour Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20141225,Christmas Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20150406,Easter Monday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20150514,Ascension Day,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,HES,20170414,Good Friday,,,,,No
calendar,MIGRATION,MIGRATION,modification,remove,STB,20300419,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20300422,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20301224,Christmas Eve,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20310414,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,TKB,20211103,Culture Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,TKB,20220718,Ocean Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20311231,New Year's Eve,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20320326,26 Mar 2032,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20320517,17 May 2032,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20050324,Holy Thursday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20050325,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20050505,Ascension,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20060517,Constitution Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20061225,Christmas Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20080324,Easter Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20090410,Good Friday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20090501,Labour Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,OSB,20090601,Whit Monday,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20250529,Ascension Day,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20251224,Christmas Eve,,,,,Yes
calendar,MIGRATION,MIGRATION,modification,remove,STB,20251225,Christmas Day,,,,,Yes
